G,Date,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
18,2023-01-17,Wisconsin,L,60,63,22,49,.449,8,20,.400,8,11,.727,4,31,10,3,5,10,21,23,54,.426,7,17,.412,10,16,.625,5,28,8,3,2,5,13
19,2023-01-21,Nebraska,W,76,65,27,55,.491,11,30,.367,11,14,.786,4,32,12,4,0,10,22,23,51,.451,6,22,.273,13,24,.542,5,31,14,6,1,9,12
20,2023-01-24,Rutgers,L,45,65,18,54,.333,4,26,.154,5,9,.556,3,25,9,5,1,7,17,23,50,.460,4,13,.308,15,19,.789,6,41,13,5,5,9,14
21,2023-01-29,Michigan,W,83,61,31,57,.544,13,30,.433,8,10,.800,6,34,20,7,1,9,9,25,59,.424,6,22,.273,5,8,.625,6,26,14,4,3,8,8
22,2023-02-01,Purdue,L,60,80,23,53,.434,11,29,.379,3,4,.750,2,17,16,3,1,7,14,28,55,.509,14,31,.452,10,14,.714,10,38,19,6,2,6,9
23,2023-02-05,Nebraska,L,63,72,24,60,.400,14,38,.368,1,4,.250,8,32,16,3,3,7,15,27,51,.529,8,20,.400,10,18,.556,3,32,17,6,2,7,6
24,2023-02-08,Wisconsin,L (1 OT),74,79,29,59,.492,9,23,.391,7,11,.636,6,29,13,5,1,10,21,28,53,.528,11,24,.458,12,19,.632,3,26,16,5,2,8,16
25,2023-02-11,Maryland,L,68,74,27,53,.509,12,26,.462,2,4,.500,2,20,10,4,6,11,19,25,47,.532,6,16,.375,18,23,.783,4,26,12,5,4,9,12
26,2023-02-14,Illinois,W,93,81,33,57,.579,12,28,.429,15,19,.789,3,27,13,3,1,7,16,29,61,.475,7,27,.259,16,20,.800,7,30,13,7,3,8,17
27,2023-02-18,Minnesota,W,76,69,28,58,.483,10,26,.385,10,13,.769,6,29,17,5,3,7,16,28,56,.500,4,12,.333,9,15,.600,8,32,22,1,4,11,15
28,2023-02-23,Ohio State,W,75,71,27,52,.519,10,19,.526,11,15,.733,4,24,9,1,1,3,10,29,63,.460,8,23,.348,5,6,.833,10,30,11,1,3,1,11
29,2023-02-26,Rutgers,L,56,59,20,54,.370,8,29,.276,8,13,.615,9,36,11,1,3,8,12,23,61,.377,6,18,.333,7,11,.636,10,37,9,5,1,4,15
30,2023-03-01,Northwestern,W (1 OT),68,65,24,52,.462,13,29,.448,7,13,.538,6,31,19,1,3,12,11,24,67,.358,12,29,.414,5,6,.833,11,33,15,8,4,5,13
31,2023-03-05,Maryland,W,65,64,26,54,.481,10,27,.370,3,5,.600,4,24,13,7,0,9,14,23,50,.460,8,22,.364,10,12,.833,5,28,10,5,2,12,14
32,2023-03-09,Illinois,W,79,76,29,56,.518,8,21,.381,13,22,.591,8,31,13,4,3,9,20,29,64,.453,6,21,.286,12,19,.632,11,31,15,7,4,7,21
33,2023-03-10,Northwestern,W (1 OT),67,65,21,51,.412,7,20,.350,18,29,.621,8,38,6,2,1,14,20,21,66,.318,6,24,.250,17,21,.810,12,37,12,8,3,4,21
34,2023-03-11,Indiana,W,77,73,23,57,.404,8,23,.348,23,26,.885,9,37,11,2,1,7,15,31,66,.470,2,14,.143,9,11,.818,7,30,20,7,2,4,17
35,2023-03-12,Purdue,L,65,67,22,51,.431,7,23,.304,14,15,.933,3,28,14,4,2,10,20,24,62,.387,6,28,.214,13,20,.650,12,36,17,5,0,7,14
1,2022-11-07,Iona,L,50,78,18,55,.327,3,25,.120,11,17,.647,9,38,14,3,8,15,13,31,76,.408,8,25,.320,8,11,.727,11,39,21,9,6,4,13
2,2022-11-11,Missouri,L,85,92,29,59,.492,16,32,.500,11,11,1.000,11,30,16,7,3,18,21,28,61,.459,16,35,.457,20,26,.769,11,25,20,15,0,9,13
3,2022-11-13,Towson,L,74,80,28,61,.459,9,27,.333,9,10,.900,8,28,14,8,6,13,24,24,54,.444,9,23,.391,23,32,.719,8,30,14,8,5,11,12
4,2022-11-15,Drexel,W,64,59,23,55,.418,5,13,.385,13,14,.929,3,32,17,5,5,11,20,22,58,.379,6,24,.250,9,20,.450,6,31,7,6,1,10,13
5,2022-11-18,West Virginia,L,58,92,21,60,.350,7,24,.292,9,18,.500,12,30,12,3,1,18,21,30,54,.556,12,23,.522,20,26,.769,6,27,12,5,3,7,15
6,2022-11-22,Lafayette,W (1 OT),74,68,27,62,.435,5,22,.227,15,25,.600,10,42,10,6,1,8,18,21,56,.375,8,31,.258,18,23,.783,6,34,11,2,4,10,17
7,2022-11-25,Hartford,W,75,55,27,58,.466,12,24,.500,9,13,.692,6,42,17,3,2,9,19,20,64,.313,7,26,.269,8,16,.500,8,32,14,6,7,5,14
8,2022-11-26,Colgate,W,81,69,32,53,.604,11,24,.458,6,7,.857,6,29,18,9,3,18,16,28,56,.500,4,16,.250,9,14,.643,7,21,11,9,0,14,11
9,2022-11-27,Delaware,W,86,73,33,58,.569,10,21,.476,10,12,.833,6,30,21,5,3,7,17,27,64,.422,9,30,.300,10,15,.667,12,29,13,1,2,9,12
10,2022-11-30,St. Joseph's,L (1 OT),80,85,27,64,.422,9,27,.333,17,28,.607,13,40,21,5,6,17,23,29,65,.446,11,29,.379,16,25,.640,8,34,16,9,4,10,23
11,2022-12-03,La Salle,L (1 OT),81,84,27,61,.443,10,29,.345,17,21,.810,6,29,12,4,1,10,16,32,68,.471,10,27,.370,10,17,.588,12,37,12,6,1,9,19
12,2022-12-07,Villanova,L,59,70,21,49,.429,6,23,.261,11,12,.917,7,32,13,4,1,13,18,21,50,.420,10,30,.333,18,21,.857,4,22,12,10,2,5,13
13,2022-12-10,Temple,W,77,57,29,61,.475,8,21,.381,11,13,.846,11,28,17,7,3,7,15,21,50,.420,7,24,.292,8,13,.615,10,28,11,4,5,14,14
14,2022-12-28,Wilkes,W,93,61,34,71,.479,11,36,.306,14,19,.737,13,45,22,9,2,5,17,21,58,.362,7,30,.233,12,17,.706,4,24,13,3,1,12,13
15,2023-01-02,Brown,W,76,68,27,52,.519,4,13,.308,18,22,.818,3,25,10,6,4,14,18,23,60,.383,6,23,.261,16,25,.640,12,34,11,10,3,16,16
16,2023-01-06,Cornell,L,69,88,26,54,.481,4,19,.211,13,17,.765,6,29,17,7,1,19,18,31,63,.492,10,30,.333,16,23,.696,8,28,21,11,2,10,17
17,2023-01-07,Columbia,W,84,55,29,55,.527,15,23,.652,11,14,.786,7,39,21,4,2,16,17,21,61,.344,6,29,.207,7,11,.636,7,28,14,5,3,13,10
18,2023-01-14,Dartmouth,L,71,75,26,57,.456,6,24,.250,13,19,.684,7,27,12,8,2,7,20,27,58,.466,7,19,.368,14,20,.700,11,33,9,3,4,11,15
19,2023-01-16,Princeton,L,60,72,21,63,.333,0,12,.000,18,22,.818,11,32,5,5,1,8,25,23,57,.404,4,25,.160,22,30,.733,8,37,6,0,1,10,18
20,2023-01-21,Yale,L,63,70,24,52,.462,10,25,.400,5,9,.556,7,35,11,3,7,13,16,24,61,.393,10,25,.400,12,15,.800,6,27,14,6,4,5,11
21,2023-01-23,Hartford,W,76,52,30,60,.500,14,33,.424,2,3,.667,7,31,21,5,4,7,8,22,53,.415,5,25,.200,3,10,.300,6,29,12,6,2,10,6
22,2023-01-28,Harvard,W,83,68,28,61,.459,11,27,.407,16,20,.800,7,37,17,5,2,9,19,22,62,.355,9,24,.375,15,21,.714,12,36,14,7,4,10,16
23,2023-02-03,Columbia,W,74,65,24,54,.444,4,15,.267,22,31,.710,13,41,13,4,6,13,17,22,61,.361,8,26,.308,13,16,.813,7,25,13,7,0,5,24
24,2023-02-04,Cornell,W,92,86,31,60,.517,11,23,.478,19,32,.594,15,46,21,2,1,14,18,33,74,.446,13,42,.310,7,13,.538,13,34,18,10,3,5,20
25,2023-02-11,Harvard,W,80,72,25,56,.446,7,21,.333,23,26,.885,11,30,12,8,3,18,20,24,58,.414,8,22,.364,16,21,.762,13,28,10,11,4,19,21
26,2023-02-17,Yale,W,66,64,23,54,.426,5,17,.294,15,23,.652,9,35,8,6,2,9,12,24,55,.436,7,20,.350,9,14,.643,6,30,11,6,1,10,23
27,2023-02-18,Brown,W,90,69,37,63,.587,8,19,.421,8,11,.727,10,47,16,5,4,17,19,22,65,.338,12,27,.444,13,19,.684,9,23,13,9,6,9,13
28,2023-02-25,Dartmouth,W,89,79,32,52,.615,8,19,.421,17,18,.944,4,27,13,9,3,15,16,29,55,.527,13,29,.448,8,14,.571,4,17,16,4,1,15,12
29,2023-03-04,Princeton,L (1 OT),69,77,26,68,.382,7,22,.318,10,15,.667,7,44,8,4,4,10,21,27,72,.375,9,37,.243,14,17,.824,8,40,13,5,4,9,16
30,2023-03-11,Princeton,L,70,77,27,61,.443,8,18,.444,8,12,.667,8,32,15,7,5,8,21,28,62,.452,9,24,.375,12,19,.632,12,38,13,1,5,9,12
1,2022-11-07,Rice,W,106,67,44,70,.629,15,30,.500,3,4,.750,3,36,25,8,4,12,20,24,63,.381,10,32,.313,9,22,.409,8,28,17,7,2,14,12
2,2022-11-11,Cal State Fullerton,L,71,74,26,55,.473,7,21,.333,12,15,.800,11,36,8,4,8,17,18,26,68,.382,8,22,.364,14,17,.824,14,31,15,8,2,7,16
3,2022-11-13,Alabama State,W,91,62,33,63,.524,13,27,.481,12,19,.632,7,41,23,6,9,9,15,23,69,.333,5,14,.357,11,16,.688,8,31,10,5,3,12,18
4,2022-11-15,Vanguard,W,94,80,34,59,.576,13,26,.500,13,18,.722,8,46,23,1,4,18,15,30,74,.405,7,22,.318,13,18,.722,6,24,17,11,1,5,19
5,2022-11-19,UC-Irvine,W,64,55,19,49,.388,6,14,.429,20,29,.690,3,32,12,6,8,12,17,19,67,.284,5,23,.217,12,17,.706,15,46,10,5,1,14,24
6,2022-11-23,UCLA,L,53,100,21,60,.350,7,31,.226,4,7,.571,5,24,9,5,1,17,16,37,67,.552,10,20,.500,16,20,.800,12,41,17,8,0,9,15
8,2022-12-03,Northern Arizona,W,88,69,33,63,.524,12,24,.500,10,17,.588,8,34,19,8,4,8,20,24,61,.393,7,23,.304,14,21,.667,11,34,11,6,0,13,15
9,2022-12-06,Nevada,L,77,85,25,65,.385,14,28,.500,13,15,.867,9,33,8,6,2,13,19,29,61,.475,7,21,.333,20,24,.833,7,35,8,6,3,10,18
10,2022-12-10,UCSB,L (1 OT),64,67,23,63,.365,8,26,.308,10,14,.714,12,42,11,8,10,20,14,28,66,.424,2,13,.154,9,13,.692,4,30,10,18,5,12,15
11,2022-12-19,Cal State Los Angeles,W,92,69,36,59,.610,11,21,.524,9,16,.563,8,42,31,8,3,18,16,24,64,.375,11,34,.324,10,15,.667,6,22,18,8,3,12,17
12,2022-12-17,Grand Canyon,L (1 OT),73,83,27,78,.346,4,23,.174,15,23,.652,15,42,12,5,6,11,26,26,63,.413,4,19,.211,27,36,.750,10,43,16,5,4,13,21
13,2022-12-22,Hawaii,L,70,76,24,55,.436,4,15,.267,18,20,.900,6,23,6,9,6,14,18,25,55,.455,9,20,.450,17,25,.680,11,33,7,6,2,17,17
14,2022-12-23,George Washington,W,81,70,33,61,.541,8,24,.333,7,12,.583,9,38,15,5,3,18,15,27,62,.435,2,11,.182,14,17,.824,6,24,7,7,1,13,17
15,2022-12-25,Iona,L,66,76,24,62,.387,5,24,.208,13,21,.619,9,34,13,3,0,11,14,31,63,.492,7,21,.333,7,12,.583,8,32,16,6,0,14,17
16,2022-12-31,Gonzaga,L,88,111,35,67,.522,6,15,.400,12,16,.750,5,32,15,5,5,16,14,47,77,.610,10,22,.455,7,14,.500,8,34,25,9,0,11,17
17,2023-01-05,Santa Clara,L,79,89,30,63,.476,8,17,.471,11,15,.733,4,28,14,2,2,11,15,35,73,.479,8,22,.364,11,19,.579,13,41,13,6,0,9,16
18,2023-01-07,Pacific,L,75,80,24,62,.387,6,17,.353,21,29,.724,11,40,11,6,3,14,20,28,61,.459,10,26,.385,14,22,.636,7,31,9,7,3,13,19
19,2023-01-12,San Diego,L,89,92,36,64,.563,8,21,.381,9,20,.450,8,32,15,7,5,14,16,36,68,.529,7,19,.368,13,19,.684,10,35,22,8,3,13,18
20,2023-01-14,BYU,L,81,91,31,60,.517,6,18,.333,13,18,.722,4,21,15,8,0,12,20,29,57,.509,8,22,.364,25,32,.781,12,38,18,7,6,14,17
21,2023-01-19,Saint Mary's,L,44,73,16,53,.302,3,14,.214,9,12,.750,5,26,9,8,3,14,8,28,63,.444,11,29,.379,6,6,1.000,9,40,18,8,4,11,14
22,2023-01-21,Portland,L,76,91,30,63,.476,9,24,.375,7,14,.500,12,32,16,7,2,14,18,31,55,.564,14,24,.583,15,18,.833,4,22,21,7,2,9,17
23,2023-01-26,San Diego,L,78,87,28,73,.384,9,34,.265,13,14,.929,13,32,19,6,4,11,23,31,58,.534,6,17,.353,19,26,.731,10,38,9,5,1,17,13
24,2023-01-28,Loyola Marymount,L,70,84,23,60,.383,6,20,.300,18,19,.947,4,27,12,5,3,9,20,28,57,.491,13,23,.565,15,26,.577,10,39,18,5,6,14,21
25,2023-02-02,Pacific,L,73,81,30,64,.469,6,26,.231,7,8,.875,10,42,11,2,5,16,15,30,72,.417,7,23,.304,14,19,.737,9,33,14,9,1,4,17
26,2023-02-04,Portland,W (2 OT),94,93,35,79,.443,8,26,.308,16,23,.696,14,38,22,5,4,18,27,28,66,.424,6,21,.286,31,40,.775,11,37,11,7,2,16,25
27,2023-02-09,BYU,W,92,80,33,58,.569,11,24,.458,15,22,.682,7,28,22,7,2,16,18,29,60,.483,4,19,.211,18,23,.783,7,23,9,10,1,13,16
28,2023-02-11,San Francisco,L,80,88,26,59,.441,10,25,.400,18,21,.857,11,28,13,3,2,15,19,30,60,.500,10,29,.345,18,24,.750,12,33,12,6,3,12,16
29,2023-02-18,Gonzaga,L,88,97,33,64,.516,7,23,.304,15,22,.682,10,31,17,5,2,10,18,37,65,.569,7,18,.389,16,24,.667,8,28,18,3,3,8,18
30,2023-02-23,Santa Clara,L,82,91,32,65,.492,8,19,.421,10,13,.769,3,29,15,4,1,10,15,37,75,.493,9,26,.346,8,13,.615,13,42,19,7,5,10,11
31,2023-02-25,Loyola Marymount,L,67,75,26,57,.456,10,21,.476,5,9,.556,9,31,12,2,5,16,24,25,58,.431,9,21,.429,16,27,.593,10,31,9,11,0,9,12
32,2023-03-02,Pacific,L,71,84,28,57,.491,5,21,.238,10,13,.769,5,31,16,4,1,13,15,33,63,.524,10,20,.500,8,13,.615,5,28,15,3,0,8,11
1,2022-11-07,UT-Martin,W,80,58,26,71,.366,11,41,.268,17,23,.739,17,49,21,6,10,15,21,20,62,.323,3,19,.158,15,24,.625,10,37,7,8,2,17,27
2,2022-11-11,West Virginia,L,56,81,19,45,.422,5,23,.217,13,18,.722,6,26,7,4,3,19,21,30,57,.526,8,21,.381,13,19,.684,6,26,14,6,1,11,19
3,2022-11-16,Michigan,L,60,91,21,50,.420,6,20,.300,12,20,.600,6,28,11,4,3,13,15,35,60,.583,9,20,.450,12,18,.667,6,33,21,5,3,6,16
4,2022-11-17,VCU,L,67,71,24,57,.421,5,22,.227,14,21,.667,7,32,8,6,0,18,27,20,49,.408,5,18,.278,26,35,.743,5,30,10,12,3,15,21
5,2022-11-20,Alabama State,W,73,54,26,62,.419,10,29,.345,11,14,.786,12,42,13,8,4,13,11,22,65,.338,5,20,.250,5,9,.556,12,34,11,7,3,12,17
6,2022-11-22,Fairleigh Dickinson,W,83,61,31,58,.534,8,25,.320,13,17,.765,10,38,17,7,3,14,11,23,63,.365,8,26,.308,7,10,.700,12,29,9,5,2,15,18
7,2022-11-25,William & Mary,W,80,64,27,62,.435,11,28,.393,15,19,.789,15,44,17,8,6,10,14,25,60,.417,5,19,.263,9,18,.500,11,30,16,4,1,11,16
8,2022-11-28,Northwestern,W,87,58,26,54,.481,14,22,.636,21,27,.778,12,39,22,5,1,9,16,21,61,.344,10,32,.313,6,13,.462,12,28,15,5,3,11,19
9,2022-12-02,NC State,W,68,60,25,54,.463,6,22,.273,12,15,.800,4,32,10,5,4,13,17,21,60,.350,6,27,.222,12,19,.632,12,37,9,8,2,12,19
10,2022-12-07,Vanderbilt,L,74,75,24,50,.480,12,25,.480,14,21,.667,5,25,12,3,5,14,16,28,70,.400,10,31,.323,9,12,.750,17,37,14,9,12,9,18
11,2022-12-10,Sacred Heart,W,91,66,33,73,.452,11,31,.355,14,15,.933,18,49,15,12,5,13,10,25,61,.410,9,29,.310,7,14,.500,5,23,11,7,3,14,15
12,2022-12-17,North Florida,W,82,56,32,61,.525,6,15,.400,12,22,.545,10,40,21,3,5,7,14,20,53,.377,6,25,.240,10,15,.667,2,25,9,5,3,11,17
13,2022-12-20,Syracuse,W,84,82,28,60,.467,13,32,.406,15,21,.714,11,40,20,4,4,15,19,30,69,.435,6,22,.273,16,25,.640,13,32,16,9,9,9,15
14,2022-12-30,UNC,W,76,74,29,63,.460,5,25,.200,13,17,.765,5,30,14,5,4,8,14,25,58,.431,7,22,.318,17,21,.810,7,36,14,5,5,11,16
15,2023-01-03,Virginia,W,68,65,23,54,.426,7,22,.318,15,17,.882,7,29,16,5,3,8,9,26,55,.473,9,21,.429,4,4,1.000,6,24,17,7,1,10,18
16,2023-01-07,Clemson,L,74,75,23,57,.404,11,29,.379,17,23,.739,9,35,11,4,4,6,19,25,53,.472,7,17,.412,18,24,.750,6,35,14,3,2,8,23
17,2023-01-11,Duke,L,69,77,25,58,.431,6,22,.273,13,17,.765,7,25,9,9,5,13,21,24,66,.364,6,27,.222,23,27,.852,20,47,13,5,5,17,21
18,2023-01-14,Georgia Tech,W,71,60,24,56,.429,6,20,.300,17,20,.850,6,32,5,6,4,2,12,24,66,.364,12,29,.414,0,3,.000,10,33,15,0,2,10,16
19,2023-01-18,Louisville,W,75,54,28,57,.491,14,34,.412,5,7,.714,6,31,21,3,3,12,16,19,56,.339,5,20,.250,11,13,.846,9,32,6,4,1,15,15
20,2023-01-21,Florida State,L,64,71,23,54,.426,7,28,.250,11,12,.917,6,28,11,4,5,11,14,25,49,.510,10,20,.500,11,15,.733,3,25,13,5,4,12,12
21,2023-01-25,Wake Forest,W,81,79,28,58,.483,18,37,.486,7,8,.875,5,30,22,2,3,9,18,29,57,.509,10,27,.370,11,18,.611,4,27,13,5,0,7,14
22,2023-01-28,Miami (FL),W,71,68,26,65,.400,9,22,.409,10,12,.833,10,36,12,5,7,11,11,26,53,.491,8,17,.471,8,11,.727,0,29,14,4,4,12,15
23,2023-02-01,UNC,W,65,64,25,55,.455,7,19,.368,8,11,.727,6,31,6,2,5,10,21,23,66,.348,5,27,.185,13,22,.591,15,39,6,1,5,9,17
24,2023-02-07,Louisville,W,91,57,28,51,.549,17,31,.548,18,20,.900,7,30,23,6,13,14,15,16,58,.276,10,27,.370,15,18,.833,14,27,11,5,6,10,15
25,2023-02-11,Florida State,W,83,75,27,66,.409,10,31,.323,19,23,.826,14,35,12,4,3,8,19,25,59,.424,5,21,.238,20,24,.833,10,33,11,4,3,11,18
26,2023-02-14,Boston College,W,77,58,26,60,.433,11,25,.440,14,19,.737,10,39,15,4,5,16,13,21,62,.339,9,26,.346,7,9,.778,10,35,13,7,5,14,21
27,2023-02-18,Virginia Tech,L,72,79,28,60,.467,3,18,.167,13,19,.684,10,27,12,7,4,9,24,25,45,.556,9,19,.474,20,28,.714,6,27,17,2,2,11,20
28,2023-02-21,Georgia Tech,W,76,68,24,51,.471,9,24,.375,19,20,.950,4,30,14,1,2,6,12,26,55,.473,9,28,.321,7,10,.700,3,24,13,0,3,3,17
29,2023-02-25,Syracuse,W,99,82,32,68,.471,16,41,.390,19,22,.864,15,33,27,6,3,5,17,28,56,.500,9,16,.563,17,24,.708,11,26,13,2,2,11,16
30,2023-03-01,Notre Dame,L,81,88,27,61,.443,7,22,.318,20,36,.556,14,38,8,7,1,8,20,26,53,.491,10,27,.370,26,31,.839,4,32,14,4,3,9,25
31,2023-03-04,Miami (FL),L,76,78,27,58,.466,11,26,.423,11,15,.733,2,17,14,8,3,6,17,25,55,.455,8,17,.471,20,23,.870,13,39,14,0,4,16,15
32,2023-03-08,Georgia Tech,W,89,81,31,55,.564,7,16,.438,20,25,.800,5,33,18,3,3,9,18,30,66,.455,8,25,.320,13,19,.684,12,33,16,7,1,7,16
33,2023-03-09,Duke,L,69,96,22,52,.423,5,18,.278,20,24,.833,8,23,11,4,1,9,14,36,58,.621,11,26,.423,13,18,.722,7,28,27,7,3,8,19
1,2022-11-07,Lewis & Clark,W,89,62,30,62,.484,11,30,.367,18,24,.750,8,38,20,7,7,9,17,18,67,.269,9,25,.360,17,22,.773,12,35,15,5,2,15,22
2,2022-11-09,Florida A&M,W,91,54,29,52,.558,11,27,.407,22,32,.688,9,37,17,2,2,18,21,17,55,.309,5,20,.250,15,22,.682,7,24,5,8,2,18,30
3,2022-11-11,Portland State,W,98,91,27,56,.482,9,22,.409,35,44,.795,11,38,16,2,5,15,18,35,81,.432,11,41,.268,10,13,.769,11,31,16,6,3,7,33
4,2022-11-14,Kent State,L,65,77,20,49,.408,10,24,.417,15,24,.625,7,29,15,3,2,27,23,30,63,.476,6,24,.250,11,19,.579,7,29,10,12,3,14,24
5,2022-11-17,Air Force,W,64,51,20,54,.370,8,27,.296,16,17,.941,8,32,11,5,3,10,19,15,45,.333,8,25,.320,13,16,.813,4,28,10,5,1,16,17
6,2022-11-19,Seattle,L,68,80,23,56,.411,6,20,.300,16,20,.800,5,27,9,6,3,12,14,33,62,.532,10,26,.385,4,10,.400,7,34,12,5,0,15,21
7,2022-11-24,UNC,L,81,89,28,58,.483,12,32,.375,13,15,.867,2,20,22,10,1,12,23,31,58,.534,11,22,.500,16,26,.615,9,36,17,4,1,13,15
8,2022-11-25,Villanova,W,83,71,27,48,.563,11,24,.458,18,23,.783,3,35,19,3,3,13,17,23,69,.333,9,41,.220,16,21,.762,13,31,9,4,0,8,25
9,2022-11-27,Michigan State,L,77,78,26,61,.426,13,29,.448,12,12,1.000,7,23,17,4,3,5,13,31,59,.525,8,14,.571,8,11,.727,9,27,17,1,3,8,14
10,2022-11-30,Multnomah,W,100,79,36,72,.500,17,42,.405,11,14,.786,12,40,28,6,0,11,14,25,58,.431,14,27,.519,15,19,.789,2,25,18,7,0,12,17
11,2022-12-03,North Dakota,W,90,69,34,60,.567,8,19,.421,14,18,.778,8,36,22,5,4,11,19,26,63,.413,9,27,.333,8,12,.667,8,25,12,4,0,13,20
12,2022-12-05,North Dakota State,L,62,67,22,65,.338,5,19,.263,13,17,.765,14,40,14,8,0,12,16,24,55,.436,7,17,.412,12,17,.706,2,31,8,9,2,12,18
13,2022-12-10,New Orleans,W,100,61,33,60,.550,18,35,.514,16,28,.571,5,36,27,9,3,13,16,23,66,.348,5,16,.313,10,13,.769,10,36,11,7,1,22,24
14,2022-12-17,Oregon,L,56,78,20,53,.377,5,23,.217,11,21,.524,4,24,12,6,0,16,18,26,49,.531,12,22,.545,14,23,.609,6,36,21,9,3,18,22
15,2022-12-22,UC-Riverside,L,65,76,21,44,.477,6,17,.353,17,27,.630,4,26,7,3,0,15,15,30,68,.441,8,19,.421,8,11,.727,10,35,17,7,0,8,23
16,2022-12-29,Loyola Marymount,L,72,92,26,62,.419,6,19,.316,14,27,.519,8,32,8,3,3,9,26,32,59,.542,15,30,.500,13,24,.542,6,42,18,4,3,11,22
17,2022-12-31,BYU,L,58,71,18,48,.375,6,21,.286,16,27,.593,4,21,6,8,3,10,20,24,49,.490,9,26,.346,14,19,.737,5,30,15,1,1,19,25
18,2023-01-07,Saint Mary's,L,43,85,12,46,.261,1,19,.053,18,25,.720,7,27,5,0,1,16,14,33,63,.524,10,29,.345,9,12,.750,10,38,13,11,1,5,23
19,2023-01-12,San Francisco,W,92,87,25,56,.446,13,30,.433,29,31,.935,9,31,20,6,1,13,17,28,60,.467,14,36,.389,17,24,.708,9,30,13,9,1,14,23
20,2023-01-14,Gonzaga,L,75,115,22,53,.415,11,33,.333,20,32,.625,10,34,13,1,1,19,12,45,80,.563,17,38,.447,8,12,.667,12,36,22,12,3,4,25
21,2023-01-19,San Diego,W,88,83,31,51,.608,10,17,.588,16,21,.762,4,26,24,3,1,11,15,30,65,.462,11,27,.407,12,14,.857,12,27,11,6,2,10,17
22,2023-01-21,Pepperdine,W,91,76,31,55,.564,14,24,.583,15,18,.833,4,22,21,7,2,9,17,30,63,.476,9,24,.375,7,14,.500,12,32,16,7,2,14,18
23,2023-01-26,Loyola Marymount,L,60,79,22,55,.400,3,18,.167,13,18,.722,8,22,8,4,3,12,18,30,56,.536,8,23,.348,11,17,.647,10,35,8,5,5,12,22
24,2023-01-28,Gonzaga,L,67,82,23,48,.479,10,24,.417,11,16,.688,5,24,12,7,5,17,17,29,56,.518,11,23,.478,13,20,.650,7,26,15,12,0,12,14
25,2023-02-02,San Diego,W,80,61,27,55,.491,9,27,.333,17,22,.773,7,31,19,8,2,8,17,22,55,.400,7,23,.304,10,17,.588,10,33,8,3,2,14,16
26,2023-02-04,Pepperdine,L (2 OT),93,94,28,66,.424,6,21,.286,31,40,.775,11,37,11,7,2,16,25,35,79,.443,8,26,.308,16,23,.696,14,38,22,5,4,18,27
27,2023-02-09,Pacific,W,81,73,23,56,.411,12,32,.375,23,32,.719,9,39,15,2,2,9,14,25,62,.403,11,30,.367,12,16,.750,6,32,14,4,1,9,25
28,2023-02-11,Saint Mary's,L,64,81,24,48,.500,6,18,.333,10,14,.714,4,21,7,4,5,9,16,28,63,.444,15,32,.469,10,12,.833,19,39,19,4,2,11,20
29,2023-02-18,Santa Clara,L,84,103,28,66,.424,10,29,.345,18,20,.900,3,27,9,5,1,8,14,41,73,.562,16,35,.457,5,9,.556,4,37,19,3,2,8,19
30,2023-02-23,San Francisco,L,89,92,25,50,.500,11,22,.500,28,31,.903,6,33,11,6,4,15,19,32,63,.508,16,34,.471,12,17,.706,5,23,13,9,3,7,22
31,2023-02-25,Pacific,L,77,81,24,59,.407,11,35,.314,18,23,.783,10,36,12,4,3,11,15,27,60,.450,10,28,.357,17,21,.810,5,29,18,6,2,6,21
32,2023-03-02,San Diego,W,92,74,26,51,.510,19,36,.528,21,27,.778,8,32,19,4,0,14,20,27,60,.450,7,28,.250,13,22,.591,9,29,13,8,1,8,25
33,2023-03-03,BYU,L,71,82,25,62,.403,9,30,.300,12,14,.857,9,22,12,6,0,5,20,27,61,.443,11,33,.333,17,25,.680,18,43,19,4,4,12,18
1,2022-11-11,Portland,L,91,98,35,81,.432,11,41,.268,10,13,.769,11,31,16,6,3,7,33,27,56,.482,9,22,.409,35,44,.795,11,38,16,2,5,15,18
2,2022-11-13,Seattle,L,71,83,22,67,.328,6,24,.250,21,28,.750,10,30,8,4,4,8,29,23,53,.434,11,24,.458,26,38,.684,11,41,9,4,2,15,26
3,2022-11-16,Evergreen State,W,113,40,41,75,.547,15,37,.405,16,22,.727,20,58,25,14,9,18,24,9,56,.161,3,25,.120,19,25,.760,6,20,6,10,1,20,19
4,2022-11-19,Oregon State,W,79,66,26,56,.464,8,23,.348,19,21,.905,7,26,15,7,1,14,24,20,46,.435,2,13,.154,24,31,.774,7,30,8,4,1,18,17
5,2022-11-25,Gonzaga,L,78,102,26,61,.426,11,25,.440,15,17,.882,8,25,14,5,3,12,20,38,63,.603,12,24,.500,14,20,.700,9,34,24,4,2,11,18
6,2022-11-25,West Virginia,L,71,89,18,47,.383,5,20,.250,30,38,.789,10,26,7,8,1,23,26,31,51,.608,7,16,.438,20,28,.714,7,27,20,11,3,18,28
