G,Date,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
21,2023-01-26,Grand Canyon,L,73,75,29,61,.475,6,18,.333,9,17,.529,7,23,15,9,2,8,20,24,47,.511,8,17,.471,19,24,.792,9,33,11,5,5,16,17
22,2023-01-28,Utah Tech,W,81,76,27,57,.474,0,6,.000,27,32,.844,9,34,12,10,1,14,26,26,51,.510,11,23,.478,13,20,.650,5,26,11,6,1,19,27
23,2023-02-01,Seattle,W,83,68,34,67,.507,8,16,.500,7,9,.778,8,38,16,7,1,6,15,27,65,.415,9,28,.321,5,9,.556,9,34,13,3,3,11,13
24,2023-02-04,California Baptist,W,87,71,27,52,.519,11,20,.550,22,25,.880,8,28,15,7,1,10,20,25,53,.472,6,25,.240,15,23,.652,8,25,16,4,3,13,16
25,2023-02-11,Sam Houston State,L,62,77,21,54,.389,10,26,.385,10,12,.833,6,21,14,7,1,11,18,27,49,.551,6,14,.429,17,24,.708,9,35,13,5,1,12,16
27,2023-02-17,Grand Canyon,L,84,94,28,61,.459,5,18,.278,23,30,.767,5,18,10,10,2,3,23,30,45,.667,10,14,.714,24,33,.727,5,31,7,1,3,17,24
28,2023-02-22,Stephen F. Austin,L (2 OT),87,91,27,71,.380,7,21,.333,26,31,.839,13,35,19,6,1,12,20,32,59,.542,8,14,.571,19,26,.731,6,36,14,6,5,17,28
29,2023-02-25,Utah Valley,L,62,66,23,61,.377,10,29,.345,6,8,.750,7,29,12,9,5,16,17,27,54,.500,4,14,.286,8,10,.800,4,32,15,6,4,15,12
31,2023-03-03,Sam Houston State,L,54,72,15,47,.319,3,15,.200,21,28,.750,5,27,11,3,2,7,19,25,54,.463,12,25,.480,10,18,.556,9,37,15,3,2,10,22
32,2023-03-07,California Baptist,L,62,69,27,67,.403,2,20,.100,6,9,.667,12,36,16,6,0,12,25,22,47,.468,8,18,.444,17,27,.630,4,30,15,5,2,16,19
1,2022-11-07,Bowling Green State,L,58,62,22,55,.400,12,34,.353,2,4,.500,2,27,11,5,6,11,17,22,56,.393,6,20,.300,12,19,.632,6,35,9,8,2,13,14
2,2022-11-11,Delaware,W,75,71,25,53,.472,8,23,.348,17,25,.680,10,38,16,4,4,11,23,19,57,.333,8,26,.308,25,30,.833,11,32,9,6,2,8,24
3,2022-11-14,Texas A&M-Commerce,L (1 OT),69,73,24,53,.453,6,22,.273,15,26,.577,7,35,15,12,5,16,22,25,61,.410,10,35,.286,13,22,.591,10,37,16,7,5,16,20
4,2022-11-17,Portland,L,51,64,15,45,.333,8,25,.320,13,16,.813,4,28,10,5,1,16,17,20,54,.370,8,27,.296,16,17,.941,8,32,11,5,3,10,19
5,2022-11-21,USC Upstate,W,83,56,27,52,.519,9,24,.375,20,27,.741,11,40,16,5,2,12,15,23,54,.426,4,20,.200,6,15,.400,5,19,5,5,4,9,24
6,2022-11-23,Mississippi Valley State,W,64,51,24,46,.522,13,29,.448,3,9,.333,6,21,18,8,6,7,11,19,48,.396,4,9,.444,9,12,.750,12,29,6,4,2,10,11
